rank,word,len,partOfSpeech,frequency,dispersion
1,the,3,a,22038615,0.98
2,be,2,v,12545825,0.97
3,and,3,c,10741073,0.99
4,of,2,i,10343885,0.97
5,a,1,a,10144200,0.98
6,in,2,i,6996437,0.98
7,to,2,t,6332195,0.98
8,have,4,v,4303955,0.97
9,to,2,i,3856916,0.99
10,it,2,p,3872477,0.96
11,I,1,p,3978265,0.93
12,that,4,c,3430996,0.97
13,for,3,i,3281454,0.98
14,you,3,p,3081151,0.92
15,he,2,p,2909254,0.94
16,with,4,i,2683014,0.99
17,on,2,i,2485306,0.99
18,do,2,v,2573587,0.95
19,say,3,v,1915138,0.95
20,this,4,d,1885366,0.96
21,they,4,p,1865580,0.96
22,at,2,i,1767638,0.98
23,but,3,c,1776767,0.97
24,we,2,p,1820935,0.94
25,his,3,a,1801708,0.95
26,from,4,i,1635914,0.99
27,that,4,d,1712406,0.94
28,not,3,x,1638830,0.98
29,n't,3,x,1619007,0.97
30,by,2,i,1490548,0.96
31,she,3,p,1484869,0.91
32,or,2,c,1379320,0.97
33,as,2,c,1296879,0.98
34,what,4,d,1181023,0.94
35,go,2,v,1151045,0.93
36,their,5,a,1083029,0.97
37,can,3,v,1022775,0.98
38,who,3,p,1018283,0.97
39,get,3,v,992596,0.94
40,if,2,c,933542,0.97
41,would,5,v,925515,0.97
42,her,3,a,969591,0.91
43,all,3,d,892102,0.98
44,my,2,a,919821,0.93
45,make,4,v,857168,0.98
46,about,5,i,874406,0.96
47,know,4,v,892535,0.93
48,will,4,v,824568,0.97
49,as,2,i,829018,0.95
50,up,2,r,795534,0.95
51,one,3,m,768232,0.98
52,time,4,n,764657,0.98
53,there,5,e,784528,0.96
54,year,4,n,769254,0.96
55,so,2,r,756550,0.95
56,think,5,v,772787,0.91
57,when,4,c,678626,0.98
58,which,5,d,685982,0.96
59,them,4,p,677870,0.97
60,some,4,d,674193,0.98
61,me,2,p,709623,0.92
62,people,6,n,691468,0.95
63,take,4,v,670745,0.97
64,out,3,r,678603,0.96
65,into,4,i,668172,0.97
66,just,4,r,677711,0.94
67,see,3,v,663645,0.96
68,him,3,p,677707,0.92
69,your,4,a,659622,0.94
70,come,4,v,628254,0.95
71,could,5,v,617932,0.96
72,now,3,r,605997,0.94
73,than,4,c,579757,0.97
74,like,4,i,568850,0.96
75,other,5,j,547799,0.97
76,how,3,r,538893,0.97
77,then,4,r,543977,0.95
78,its,3,a,539719,0.96
79,our,3,a,525107,0.97
80,two,3,m,511027,0.99
81,more,4,r,517536,0.97
82,these,5,d,513864,0.95
83,want,4,v,514972,0.95
84,way,3,n,470401,0.98
85,look,4,v,491707,0.93
86,first,5,m,463566,0.98
87,also,4,r,464606,0.96
88,new,3,j,435993,0.97
89,because,7,c,438539,0.96
90,day,3,n,432773,0.97
91,more,4,d,420170,0.97
92,use,3,v,420781,0.96
